Destination City,Destination Code,Departure,Flight,Airline,Terminal,Status,Date,Reference Day,url,Date_Time,Destination Country,Parent Company
Buenos Aires,(AEP),09:45,AR1281,Aerolineas Argentinas,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:45:00,Argentina,Argentine government
Buenos Aires,(AEP),09:45,DL7615,Delta Air Lines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:45:00,Argentina,Delta Air Lines Inc.
Concepcion,(CCP),09:47,LA219,LATAM Airlines,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:47:00,Chile,LATAM Airlines Group
Concepcion,(CCP),09:47,IB7119,Iberia,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:47:00,Chile,International Airlines Group
Rio De Janeiro,(GIG),09:47,LA770,LATAM Airlines,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:47:00,Brazil,LATAM Airlines Group
Rio De Janeiro,(GIG),09:47,DL6334,Delta Air Lines,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:47:00,Brazil,Delta Air Lines Inc.
Rio De Janeiro,(GIG),09:47,QF3891,Qantas,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:47:00,Brazil,Qantas Airways Limited
Buenos Aires,(EZE),09:50,KL702,KLM Royal Dutch Airlines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:50:00,Argentina,Air France-KLM
Sao Paulo,(GRU),09:55,LA630,LATAM Airlines,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:55:00,Brazil,LATAM Airlines Group
Sao Paulo,(GRU),09:55,BA4309,British Airways,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:55:00,Brazil,International Airlines Group
Sao Paulo,(GRU),09:55,DL7399,Delta Air Lines,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:55:00,Brazil,Delta Air Lines Inc.
Sao Paulo,(GRU),09:55,QF3907,Qantas,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 09:55:00,Brazil,Qantas Airways Limited
Temuco,(ZCO),10:11,JA201,JetSMART,1,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 10:11:00,Chile,Indigo Partners
Copiapo,(CPO),10:16,LA330,LATAM Airlines,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 10:16:00,Chile,LATAM Airlines Group
Copiapo,(CPO),10:16,IB7078,Iberia,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 10:16:00,Chile,International Airlines Group
Puerto Montt,(PMC),10:31,LA1157,LATAM Airlines,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 10:31:00,Chile,LATAM Airlines Group
Antofagasta,(ANF),10:34,LA350,LATAM Airlines,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 10:34:00,Chile,LATAM Airlines Group
Antofagasta,(ANF),10:34,IB7125,Iberia,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 10:34:00,Chile,International Airlines Group
Calama,(CJC),10:38,LA148,LATAM Airlines,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 10:38:00,Chile,LATAM Airlines Group
Calama,(CJC),10:38,DL6179,Delta Air Lines,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 10:38:00,Chile,Delta Air Lines Inc.
Calama,(CJC),10:38,IB7075,Iberia,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 10:38:00,Chile,International Airlines Group
La Serena,(LSC),10:43,JA11,JetSMART,,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 10:43:00,Chile,Indigo Partners
Puerto Montt,(PMC),10:45,H2421,Sky Airline,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 10:45:00,Chile,Sky Airline S.A.
Valdivia,(ZAL),10:59,H2121,Sky Airline,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 10:59:00,Chile,Sky Airline S.A.
Copiapo,(CPO),11:17,LA112,LATAM Airlines,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 11:17:00,Chile,LATAM Airlines Group
Madrid,(MAD),11:20,IB6830,Iberia,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 11:20:00,Spain,International Airlines Group
Madrid,(MAD),11:20,BA4250,British Airways,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 11:20:00,Spain,International Airlines Group
Madrid,(MAD),11:20,LA5410,LATAM Airlines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 11:20:00,Spain,LATAM Airlines Group
Madrid,(MAD),11:20,LY9210,El Al Israel Airlines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 11:20:00,Spain,Kanaf Arkia Holdings Ltd
Madrid,(MAD),11:20,QR5355,Qatar Airways,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 11:20:00,Spain,Qatar Airways Group
Iquique,(IQQ),11:25,LA168,LATAM Airlines,1,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 11:25:00,Chile,LATAM Airlines Group
Iquique,(IQQ),11:25,IB7253,Iberia,1,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 11:25:00,Chile,International Airlines Group
Calama,(CJC),11:28,LA370,LATAM Airlines,1,Unknown [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 11:28:00,Chile,LATAM Airlines Group
Sao Paulo,(GRU),11:30,LA752,LATAM Airlines,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 11:30:00,Brazil,LATAM Airlines Group
Sao Paulo,(GRU),11:30,BA4303,British Airways,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 11:30:00,Brazil,International Airlines Group
Sao Paulo,(GRU),11:30,QF3905,Qantas,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 11:30:00,Brazil,Qantas Airways Limited
Panama City,(PTY),11:36,CM498,Copa Airlines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 11:36:00,Panama,Copa Holdings
Panama City,(PTY),11:36,KL3058,KLM Royal Dutch Airlines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=6,2023-05-02 11:36:00,Panama,Air France-KLM
